epoch,f0_scaled_loss,ld_scaled_loss,loss,val_f0_scaled_loss,val_ld_scaled_loss,val_loss
0,0.010942378081381321,0.009773054160177708,0.02071543037891388,0.004940498620271683,0.002991368994116783,0.007931866683065891
1,0.005127789452672005,0.003870646469295025,0.008998431265354156,0.0048646386712789536,0.002586777787655592,0.007451415527611971
2,0.004228848963975906,0.0031779592391103506,0.00740681029856205,0.0034500621259212494,0.0023518837988376617,0.0058019463904201984
3,0.0037210574373602867,0.002811465412378311,0.006532521918416023,0.0026314803399145603,0.001924629439599812,0.004556109197437763
4,0.0034115237649530172,0.0026617960538715124,0.006073316093534231,0.0026331902481615543,0.0019302780274301767,0.004563468042761087
5,0.003243805142119527,0.0025419124867767096,0.005785714369267225,0.002291430253535509,0.001971777295693755,0.004263207316398621
6,0.003027478465810418,0.0023731824476271868,0.005400656256824732,0.0032218669075518847,0.0019553236197680235,0.005177190527319908
7,0.002975794719532132,0.0022993360180407763,0.005275131203234196,0.002467120997607708,0.0018159771570935845,0.004283098503947258
8,0.0028176631312817335,0.002215646905824542,0.005033315159380436,0.0024696756154298782,0.00193839764688164,0.004408073145896196
9,0.00280914013274014,0.0021915247198194265,0.005000665783882141,0.002436136594042182,0.0019777934066951275,0.004413931164890528
10,0.0026330207474529743,0.00211634230799973,0.004749367479234934,0.002579920692369342,0.002210156759247184,0.004790077451616526
